vehicle_id,vehicle_name,location,vehicle_type,category,driver_name,status
RL-17-C-NARS-125842,RL-17-C,C,Primary,Rickshaw Loader,,Active
RL-16-C-NARS-125841,RL-16-C,C,Primary,Rickshaw Loader,,Active
RL-15-C-NARS-125845,RL-15-C,C,Primary,Rickshaw Loader,,Active
BL-14-C-163ML-8L100112,BL-14-C,C,Primary,Bike Loader,,Active
BL-8-C-PKNACLFMX7J03917,BL-8-C,C,Primary,Bike Loader,,Active
BL-7-C-NA,BL-7-C,C,Primary,Bike Loader,,Active
BL-6-C-PKNACLFMX7J04301,BL-6-C,C,Primary,Bike Loader,,Active
BL-5-C-163ML-8L100124,BL-5-C,C,Primary,Bike Loader,,Active
BL-4-C-163ML-8L100118,BL-4-C,C,Primary,Bike Loader,,Active
BL-3-C-163ML-8L100122,BL-3-C,C,Primary,Bike Loader,,Active
BL-2-C-163ML-8L100125,BL-2-C,C,Primary,Bike Loader,,Active
SU-M4-C-F8B-371530,SU-M4-C,C,Primary,Mini Tipper,,Active
SU-129-D-PK-406795,SU-129-D,D,Primary,Mini Tipper,,Active
SU-38-D-PK-406351,SU-38-D,D,Primary,Mini Tipper,,Active
COM-192-E-40200064,COM-192-E,E,Primary,Compactor,,Active
SU-153-E-PK-341261,SU-153-E,E,Primary,Mini Tipper,,Active
SU-68-E-PK-355643,SU-68-E,E,Primary,Mini Tipper,,Active
SU-115-E-PK-341231,SU-115-E,E,Primary,Mini Tipper,,Active
SU-42-E-PK-406687,SU-42-E,E,Primary,Mini Tipper,,Active
SU-106-E-PK-341301,SU-106-E,E,Primary,Mini Tipper,,Active
SU-109-E-PK-341212,SU-109-E,E,Primary,Mini Tipper,,Active
TRT-76-D-24737213F4,TRT-76-D,D,Primary,Tractor,,Active
TRT-47-B-20523909N4,TRT-47-B,B,Primary,Tractor,,Active
TRT-5/37-B-NOT AVALIBLE,TRT-5/37-B China,B,Primary,Tractor,,Active
COM-91-B-JHHYFJ0H502000302,COM-91-B,B,Primary,Compactor,,Active
BL-13-B-PKNACLFMX7103818,BL-13-B,B,Primary,Bike Loader,,Active
BL-12-B-L6XHBM3B8L0000012,BL-12-B,B,Primary,Bike Loader,,Active
BL-27-B,BL-27-B,B,Primary,Bike Loader,,Active
BL-6-E-2L0000006,BL-6-E,E,Primary,Bike Loader,,Active
RL-5-E-163ML-8L1000008,RL-5-E,E,Primary,Rickshaw Loader,,Active
BL-21-E-9L0000021,BL-21-E,E,Primary,Bike Loader,,Active
BL-13-E-L6XHBM3B0L000013,BL-13-E,E,Primary,Bike Loader,,Active
BL-9-E-8L0000009,BL-9-E,E,Primary,Bike Loader,,Active
BL-781-E-J03781,BL-781-E,E,Primary,Bike Loader,,Active
BL-814-E-ZS162FMU-L8M322319,BL-814-E,E,Primary,Bike Loader,,Active
BL-813-E-ZS162FMJ-LSM322049,BL-813-E,E,Primary,Bike Loader,,Active
BL-7-E-4L60000007,BL-7-E,E,Primary,Bike Loader,,Active
RL-3-D-124798,RL-3-D,D,Primary,Rickshaw Loader,,Active
RL-20-D-125843,RL-20-D,D,Primary,Rickshaw Loader,,Active
RL-19-D-125837,RL-19-D,D,Primary,Rickshaw Loader,,Active
RL-18-D-125838,RL-18-D,D,Primary,Rickshaw Loader,,Active
BL-23-D-Not-Avaiable,BL-23-D,D,Primary,Bike Loader,,Active
RL-1-A-Not-Avaiable,RL-1-A-,A,Primary,Rickshaw Loader,,Active
HARM-1-A-46220,HARM-1-A,A,Secondary,Compactor,,Active
HARM-5-A-FMMFN62FM2J0000004,HARM-5-A,A,Secondary,Compactor,,Active
SARM-2-A-JHHYJL0H402000737,SARM-2-A,A,Primary,Compactor,,Active
SARM-11-A-802000739,SARM-11-A,A,Primary,Compactor,,Active
SARM-15-A-JHHYJL04202000736,SARM-15-A,A,Primary,Compactor,,Active
BL-14-A-PKNACLFMX7103811,BL-14-A,A,Primary,Bike Loader,,Active
BL-16-A-PKNACLFMX7103315,BL-16-A,A,Primary,Bike Loader,,Active
BL-24-A-L6XHBM3B4L0000024,BL-24-A,A,Primary,Bike Loader,,Active
BL-25-A-L6XHBM8B9L0000001,BL-25-A,A,Primary,Bike Loader,,Active
BL-26-A-L6XHBM369L0000002,BL-26-A,A,Primary,Bike Loader,,Active
BL-27-A-L6XHBM89L0000003,BL-27-A,A,Primary,Bike Loader,,Active
COM-177-A-JHHBFJ4H902000061,COM-177-A,A,Primary,Compactor,,Active
COM-187-A-JHHBFJ4H002000045,COM-187-A,A,Primary,Compactor,,Active
COM-23-A-MMC-04-CN01456,COM-23-A,A,Primary,Compactor,,Active
COM-85-A-JHHY-FOH302000167,COM-85-A,A,Primary,Compactor,,Active
COM-94-A-JHHYFJ0H002000305,COM-94-A,A,Primary,Compactor,,Active
Exc-3-A-AACL5008912,Exc-3-A,A,Primary,EXCEVATOR,,Active
PU-4023-A-KUN15R-9455408,PU-4023-A,A,Primary,PickUp,,Active
JM-62-A-702000141,JM-62-A,A,Primary,Jetting Mechine,,Active
MS-87-A-JHHYFJOH202000161,MS-87-A,A,Primary,Mechanical Sweeper,,Active
HARM-2-D-47153,HARM-2-D,D,Secondary,Compactor,,Active
FAW-4-A-AHFMPS121005732,FAW-4-A,A,Primary,Mini Tipper,,Active
FAW-5-A-AHFMPS121CC005697,FAW-5-A,A,Primary,Mini Tipper,,Active
FAW-6-A-AHFMPS117CC004069,FAW-6-A,A,Primary,Mini Tipper,,Active
FAW-7-A-AHFMPS121CC005673,FAW-7-A,A,Primary,Mini Tipper,,Active
FAW-8-A-AHFMPS120CC005395,FAW-8-A,A,Primary,Mini Tipper,,Active
FAW-9-A-AHFMPS121CC005821,FAW-9-A,A,Primary,Mini Tipper,,Active
FAW-10-A-AHFMPS121CC005727,FAW-10-A,A,Primary,Mini Tipper,,Active
FAW-11-A-AHFMPS120CC005485,FAW-11-A,A,Primary,Mini Tipper,,Active
FAW-12-A-AHFMPS121CC005671,FAW-12-A,A,Primary,Mini Tipper,,Active
FAW-53-A-S119CC005253,FAW-53-A,A,Primary,Mini Tipper,,Active
FAW-54-A-S119CC005254,FAW-54-A,A,Primary,Mini Tipper,,Active
FAW-55-A-S119CC005255,FAW-55-A,A,Primary,Mini Tipper,,Active
SU-3-A-PK-335673,SU-3-A,A,Primary,Mini Tipper,,Active
SU-33-A-PK-406772,SU-33-A,A,Primary,Mini Tipper,,Active
SU-34-A-PK-406792,SU-34-A,A,Primary,Mini Tipper,,Active
SU-36-A-PK-406697,SU-36-A,A,Primary,Mini Tipper,,Active
SU-37-A-PK-406625,SU-37-A,A,Primary,Mini Tipper,,Active
SU-39-A-PK-406808,SU-39-A,A,Primary,Mini Tipper,,Active
SU-41-A-PK-406779,SU-41-A,A,Primary,Mini Tipper,,Active
SU-100-A-PK-341282,SU-100-A,A,Primary,Mini Tipper,,Active
SU-102-A-PK-341286,SU-102-A,A,Primary,Mini Tipper,,Active
SU-103-A-PK-341287,SU-103-A,A,Primary,Mini Tipper,,Active
SU-107-A-PK-341302,SU-107-A,A,Primary,Mini Tipper,,Active
SU-108-A-PK-341303,SU-108-A,A,Primary,Mini Tipper,,Active
SU-110-A-PK-341292,SU-110-A,A,Primary,Mini Tipper,,Active
SU-111-A-PK-341294,SU-111-A,A,Primary,Mini Tipper,,Active
SU-114-A-PK-341232,SU-114-A,A,Primary,Mini Tipper,,Active
SU-116-A-PK-341237,SU-116-A,A,Primary,Mini Tipper,,Active
SU-117-A-PK-341238,SU-117-A,A,Primary,Mini Tipper,,Active
SU-119-A-PK-341241,SU-119-A,A,Primary,Mini Tipper,,Active
SU-120-A-PK-341243,SU-120-A,A,Primary,Mini Tipper,,Active
SU-121-A-PK-341244,SU-121-A,A,Primary,Mini Tipper,,Active
SU-122-A-PK-341267,SU-122-A,A,Primary,Mini Tipper,,Active
SU-124-A-PK-341276,SU-124-A,A,Primary,Mini Tipper,,Active
SU-126-A-PK-341272,SU-126-A,A,Primary,Mini Tipper,,Active
SU-127-A-PK-341274,SU-127-A,A,Primary,Mini Tipper,,Active
SU-128-A-PK-341276,SU-128-A,A,Primary,Mini Tipper,,Active
SU-129-A-PK-341277,SU-129-A,A,Primary,Mini Tipper,,Active
SU-130-A-PK-341279,SU-130-A,A,Primary,Mini Tipper,,Active
SU-131-A-PK-341280,SU-131-A,A,Primary,Mini Tipper,,Active
